ticker,cross_date,price,wma200,pct_below,return_3mo,return_6mo,return_12mo,return_24mo,max_drawdown_12mo,fcf,fcf_prior,fcf_change_pct,fcf_positive,fcf_growing,fcf_category
NVDA,2022-09-17,12.5,12.69,-1.49,21.52,114.05,232.66,827.66,-10.3,,,,,,unknown
AMZN,2022-04-23,124.28,126.42,-1.69,8.58,-16.79,-15.15,44.53,-32.41,,,,,,unknown
AMZN,2022-08-27,127.51,129.02,-1.17,-26.18,-25.57,8.32,39.99,-34.12,,,,,,unknown
AMZN,2022-09-10,123.53,129.48,-4.59,-28.88,-19.9,13.65,50.97,-32.0,,,,,,unknown
AMZN,2023-07-15,130.0,133.36,-2.52,-3.72,19.49,40.87,73.95,-3.72,-16893000000.0,,,False,,negative
AMZN,2023-08-12,133.22,134.34,-0.84,8.98,27.24,32.91,73.42,-6.04,-16893000000.0,,,False,,negative
AMZN,2023-09-16,129.12,135.53,-4.73,18.82,38.53,48.39,79.28,-3.06,-16893000000.0,,,False,,negative
GOOGL,2022-10-29,85.87,92.46,-7.12,21.02,21.93,49.11,98.33,0.0,,,,,,unknown
GOOGL,2022-12-03,92.07,93.5,-1.53,-2.37,31.67,45.42,88.67,-5.91,,,,,,unknown
GOOGL,2023-02-04,93.79,95.07,-1.34,24.26,37.0,57.56,96.69,-5.75,60010000000.0,,,True,,positive_unknown_trend
GOOG,2022-10-29,85.99,92.9,-7.44,21.36,22.51,50.37,99.62,0.0,,,,,,unknown
GOOG,2022-12-03,92.31,93.96,-1.76,-2.21,32.02,46.81,90.1,-5.28,,,,,,unknown
GOOG,2023-02-04,94.09,95.58,-1.56,24.31,37.22,58.36,97.99,-5.81,60010000000.0,,,True,,positive_unknown_trend
META,2018-11-19,130.82,133.27,-1.84,22.9,37.45,50.93,104.74,-5.15,,,,,,unknown
META,2018-12-17,124.08,134.47,-7.72,31.52,52.97,65.11,121.21,0.0,,,,,,unknown
META,2020-03-16,148.69,162.82,-8.68,59.48,68.66,93.76,44.59,0.0,,,,,,unknown
META,2022-02-07,218.03,231.22,-5.7,-9.53,-17.79,-20.68,113.21,-58.65,,,,,,unknown
META,2023-05-01,231.17,231.31,-0.06,33.49,35.15,94.36,157.68,0.0,19289000000.0,,,True,,positive_unknown_trend
AVGO,2020-03-14,16.54,19.67,-15.95,60.19,92.29,158.11,241.92,0.0,,,,,,unknown
TSLA,2016-02-06,10.07,10.47,-3.85,37.45,49.37,78.25,105.52,0.0,,,,,,unknown
TSLA,2016-10-29,12.7,12.81,-0.82,31.89,61.81,60.63,81.79,-4.77,,,,,,unknown
TSLA,2016-11-26,12.1,13.01,-7.02,38.63,87.28,68.91,93.13,0.0,,,,,,unknown
TSLA,2018-09-29,17.46,17.5,-0.21,21.28,4.97,-11.65,692.31,-29.31,,,,,,unknown
TSLA,2019-03-16,17.64,18.33,-3.78,-16.13,-9.04,61.62,1137.8,-30.0,,,,,,unknown
TSLA,2019-03-30,18.33,18.35,-0.09,-15.22,-15.83,74.57,1103.36,-32.66,,,,,,unknown
TSLA,2022-12-10,150.23,163.83,-8.3,19.9,73.43,68.74,190.37,-24.74,,,,,,unknown
TSLA,2023-04-15,165.08,177.69,-7.09,57.51,28.42,-10.92,46.21,-0.91,7552000000.0,,,True,,positive_unknown_trend
TSLA,2024-01-13,212.19,218.44,-2.86,-30.7,12.73,101.0,106.18,-30.7,4357000000.0,7552000000.0,-42.3,True,False,positive_declining
TSLA,2024-07-20,219.8,232.67,-5.53,22.47,84.98,43.79,,-9.01,4357000000.0,7552000000.0,-42.3,True,False,positive_declining
TSLA,2024-10-05,217.8,236.29,-7.83,81.24,15.84,89.85,,0.0,4357000000.0,7552000000.0,-42.3,True,False,positive_declining
TSLA,2025-03-29,239.43,248.88,-3.8,31.71,79.52,,,,3581000000.0,4357000000.0,-17.8,True,False,positive_declining
TSLA,2025-04-12,241.37,249.29,-3.18,36.57,82.01,,,,3581000000.0,4357000000.0,-17.8,True,False,positive_declining
BRK-B,2020-03-14,170.06,189.36,-10.19,5.68,28.31,47.59,101.35,-0.48,,,,,,unknown
BRK-B,2020-04-18,186.52,190.48,-2.08,4.29,14.04,45.82,79.91,-9.26,,,,,,unknown
BRK-B,2020-06-06,181.21,191.75,-5.5,20.26,24.93,58.28,60.98,-3.22,,,,,,unknown
WMT,2015-08-15,18.33,19.29,-4.95,-9.72,-2.01,12.74,26.21,-15.21,,,,,,unknown
WMT,2016-10-01,19.5,19.87,-1.86,0.07,7.66,18.19,42.88,-3.74,,,,,,unknown
WMT,2016-11-12,19.46,19.93,-2.39,1.94,17.38,46.16,49.94,-3.52,,,,,,unknown
WMT,2016-12-03,19.89,19.96,-0.34,0.74,15.75,41.6,39.89,-5.64,,,,,,unknown
