ticker,cross_date,price,wma200,pct_below,return_3mo,return_6mo,return_12mo,return_24mo,max_drawdown_12mo,fcf,fcf_prior,fcf_change_pct,fcf_positive,fcf_growing,fcf_category,market_cap,fcf_yield,yield_bucket
AMZN,2023-07-15,130.0,133.36,-2.52,-3.72,19.49,40.87,73.95,-3.72,-16893000000.0,,,False,,negative,1395539713100.0,-1.2104994104735665,negative (0 to -5%)
AMZN,2023-08-12,133.22,134.34,-0.84,8.98,27.24,32.91,73.42,-6.04,-16893000000.0,,,False,,negative,1430106158301.4,-1.1812409800447654,negative (0 to -5%)
AMZN,2023-09-16,129.12,135.53,-4.73,18.82,38.53,48.39,79.28,-3.06,-16893000000.0,,,False,,negative,1386092982734.4001,-1.218749406455728,negative (0 to -5%)
GOOGL,2023-02-04,93.79,95.07,-1.34,24.26,37.0,57.56,96.69,-5.75,60010000000.0,,,True,,positive_unknown_trend,546045380000.00006,10.989929078788286,very_strong (8-12%)
GOOG,2023-02-04,94.09,95.58,-1.56,24.31,37.22,58.36,97.99,-5.81,60010000000.0,,,True,,positive_unknown_trend,511661420000.0,11.728459026674319,very_strong (8-12%)
META,2023-05-01,231.17,231.31,-0.06,33.49,35.15,94.36,157.68,0.0,19289000000.0,,,True,,positive_unknown_trend,505609880005.16,3.8149966531119106,moderate (3-5%)
TSLA,2023-04-15,165.08,177.69,-7.09,57.51,28.42,-10.92,46.21,-0.91,7552000000.0,,,True,,positive_unknown_trend,619451471918.7201,1.2191431197359264,low (0-3%)
TSLA,2024-01-13,212.19,218.44,-2.86,-30.7,12.73,101.0,106.18,-30.7,4357000000.0,7552000000.0,-42.3,True,False,positive_declining,796228542684.96,0.5472046989558768,low (0-3%)
TSLA,2024-07-20,219.8,232.67,-5.53,22.47,84.98,43.79,,-9.01,4357000000.0,7552000000.0,-42.3,True,False,positive_declining,824784550083.2001,0.5282591677499885,low (0-3%)
TSLA,2024-10-05,217.8,236.29,-7.83,81.24,15.84,89.85,,0.0,4357000000.0,7552000000.0,-42.3,True,False,positive_declining,817279686115.2001,0.5331100324676193,low (0-3%)
TSLA,2025-03-29,239.43,248.88,-3.8,31.71,79.52,,,,3581000000.0,4357000000.0,-17.8,True,False,positive_declining,898444789929.12,0.3985776355030688,low (0-3%)
TSLA,2025-04-12,241.37,249.29,-3.18,36.57,82.01,,,,3581000000.0,4357000000.0,-17.8,True,False,positive_declining,905724507978.08,0.3953740865414085,low (0-3%)
WMT,2022-05-14,38.0,38.54,-1.4,15.45,26.58,27.79,67.68,-0.76,11075000000.0,,,True,,positive_unknown_trend,302866344632.0,3.656728519458562,moderate (3-5%)
WMT,2022-06-11,37.71,38.78,-2.76,13.09,21.66,33.6,75.17,0.0,11075000000.0,,,True,,positive_unknown_trend,300554996212.44,3.6848497411674717,moderate (3-5%)
JNJ,2023-10-14,142.0,142.59,-0.41,6.52,-1.81,11.34,34.5,-4.84,17185000000.0,,,True,,positive_unknown_trend,342205648912.0,5.021834109003623,strong (5-8%)
JNJ,2024-03-30,143.65,145.55,-1.3,-3.1,6.84,3.78,,-4.55,17778000000.0,17185000000.0,3.5,True,True,positive_growing,346181982156.4,5.135449248184198,strong (5-8%)
JNJ,2024-11-02,148.86,148.86,-0.0,-0.72,0.79,23.88,,-7.89,17778000000.0,17185000000.0,3.5,True,True,positive_growing,358737555612.96,4.955711974349456,moderate (3-5%)
JNJ,2025-03-29,149.09,149.55,-0.31,2.68,25.07,,,,18059000000.0,17778000000.0,1.6,True,True,positive_growing,359291832368.24,5.026276239280397,strong (5-8%)
JNJ,2025-05-10,147.23,149.69,-1.65,17.73,31.54,,,,18059000000.0,17778000000.0,1.6,True,True,positive_growing,354809420347.27997,5.089774668982642,strong (5-8%)
JNJ,2025-06-14,146.98,149.65,-1.78,18.49,39.67,,,,18059000000.0,17778000000.0,1.6,True,True,positive_growing,354206945613.27997,5.098431926209787,strong (5-8%)
