ticker,name,sector,price,wma200,pct_below,mktcap,fcf,fcf_yield,ocf,pe,fwd_pe,revenue,div_yield,total_debt,total_cash
FISV,"Fiserv, Inc.",Unknown,56.74,134.44,-57.79,30964133888,,,,9.1,6.4,,,,
HUM,Humana Inc.,Healthcare,165.43,366.3,-54.84,20500109312,1321250048.0,6.45,921000000.0,17.3,11.1,129664000000.0,214.0,13269999616.0,19903000576.0
LULU,lululemon athletica inc.,Consumer Cyclical,157.78,315.86,-50.05,18963593216,884945152.0,4.67,1860995968.0,11.1,12.8,11073296384.0,,1762793984.0,1035862016.0
CNC,Centene Corporation,Healthcare,34.45,64.92,-46.93,17093959680,5053000192.0,29.56,5088000000.0,,8.5,176151003136.0,,18161999872.0,20320000000.0
CSGP,"CoStar Group, Inc.",Real Estate,43.63,76.41,-42.9,18487148544,143750000.0,0.78,430000000.0,2181.0,24.6,3247000064.0,,1144000000.0,1632999936.0
MRNA,"Moderna, Inc.",Healthcare,52.56,91.41,-42.5,21054220288,-1326499968.0,-6.3,-1872999936.0,,-11.7,1944000000.0,,1304999936.0,5799000064.0
ADBE,Adobe Inc.,Technology,249.32,430.87,-42.14,103388528640,9292624896.0,8.99,10506999808.0,15.1,9.6,24452999168.0,,6656000000.0,6889999872.0
WDAY,"Workday, Inc.",Technology,133.09,218.69,-39.14,35679211520,3012750080.0,8.44,2939000064.0,51.4,10.7,9552000000.0,,3820999936.0,5442999808.0
NKE,"Nike, Inc.",Consumer Cyclical,53.98,86.92,-37.9,81110204416,2576624896.0,3.18,3056000000.0,32.0,23.8,46513000448.0,304.0,11281999872.0,8344999936.0
UNH,UnitedHealth Group Incorporated,Healthcare,282.09,449.24,-37.21,259132358656,13863249920.0,5.35,19697000448.0,21.6,14.3,447567003648.0,313.0,83003998208.0,28120999936.0
EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive,87.88,139.19,-36.86,32106893312,1695000064.0,5.28,1670000000.0,,29.3,14670999552.0,159.0,9390000128.0,3081999872.0
CHTR,"Charter Communications, Inc.",Communication Services,218.19,345.1,-36.78,28165947392,2734625024.0,9.71,16076999680.0,6.0,4.6,54774001664.0,,98969001984.0,477000000.0
PYPL,"PayPal Holdings, Inc.",Financial Services,44.9,69.73,-35.61,42497310720,3274249984.0,7.7,6416000000.0,8.4,7.8,33172000768.0,125.0,12295999488.0,10421999616.0
GIS,"General Mills, Inc.",Consumer Defensive,39.38,60.75,-35.18,20799029248,2478249984.0,11.92,2359800064.0,8.4,11.3,18776700928.0,620.0,13734800384.0,683400000.0
ACN,Accenture plc,Technology,196.65,295.67,-33.49,123599880192,11122880512.0,9.0,12116009984.0,16.5,13.4,70725558272.0,332.0,8201998848.0,9655311360.0
GPN,Global Payments Inc.,Industrials,68.67,101.83,-32.56,19047284736,1748544256.0,9.18,2656591872.0,15.4,4.2,7705878016.0,146.0,22190045184.0,8336401920.0
DXCM,"DexCom, Inc.",Healthcare,64.24,94.57,-32.07,25873676288,719537472.0,2.78,1440700032.0,31.7,22.2,4662000128.0,,1396400000.0,1998700032.0
ELV,"Elevance Health, Inc.",Healthcare,291.63,426.96,-31.7,64461213696,3399749888.0,5.27,4289999872.0,11.6,9.9,199126007808.0,236.0,32750000128.0,36115001344.0
